movie_id,imdb_id,tmdb_id,average_rating,title
5364,0250797,2251,3.34105,Unfaithful (2002)
1784,0119822,2898,3.7706,As Good as It Gets (1997)
92920,1703148,70954,3.39002,The Hunter (2011)
3323,0194368,20682,3.14851,Chain of Fools (2001)
8955,0360130,16131,3.38142,Undertow (2004)
2302,0104952,10377,3.61165,My Cousin Vinny (1992)
188675,6768578,483184,3.66743,Dogman (2018)
316163,12001534,744653,3.14684,The Thursday Murder Club (2025)
318211,27543632,1368166,3.27855,The Housemaid (2025)
4885,0249478,11456,2.79071,Domestic Disturbance (2001)
4889,0252503,11088,3.38321,Heist (2001)
2842,0133412,18621,3.17089,Best Laid Plans (1999)
1307,0098635,639,3.83703,When Harry Met Sally... (1989)
2334,0133952,9882,3.1263,The Siege (1998)
799,0116365,10779,3.36292,The Frighteners (1996)
179491,4348012,429733,3.32971,Mayhem (2017)
57637,0780607,13059,3.12871,The Signal (2007)
283425,16280138,906221,2.74684,Magic Mike's Last Dance (2023)
1834,0120176,29193,3.85726,The Spanish Prisoner (1997)
4907,0068168,23847,3.38199,Across 110th Street (1972)
71466,1174730,28053,3.67617,City Island (2009)
278824,15301048,714888,3.70098,Argentina 1985 (2022)
79663,1217070,33195,3.11905,Triage (2009)
102194,1935179,103731,3.64776,Mud (2013)
61236,1185616,8885,3.86905,Waltz with Bashir (2008)
3893,0171580,10480,3.15109,Nurse Betty (2000)
3896,0202677,1619,3.27635,The Way of the Gun (2000)
3906,0164212,10562,3.18132,Under Suspicion (2000)
41285,0416320,116,3.71784,Match Point (2005)
110407,2317225,174675,3.17701,The Machine (2013)
91474,1541160,62046,3.28439,Flypaper (2011)
6484,0329717,11375,2.64975,Hollywood Homicide (2003)
47446,0428856,16998,3.45682,The Moustache (2005)
159061,5215952,293670,3.81237,The Wailing (2016)
219994,10272386,600354,3.97481,The Father (2020)
2395,0128445,11545,3.83939,Rushmore (1998)
177497,5478478,384680,3.57876,Hostiles (2017)
92509,1606389,72570,3.54463,The Vow (2012)
51037,0450340,9828,3.25358,Unknown (2006)
139100,1738398,54692,3.87975,Once Brothers (2010)
2915,0086200,9346,3.48399,Risky Business (1983)
148838,1706433,59426,3.5463,To Live (2010)
357,0109831,712,3.64012,Four Weddings and a Funeral (1994)
96612,1971352,84188,3.20654,Compliance (2012)
5991,0299658,1574,3.5135,Chicago (2002)
188773,8075192,505192,4.02198,Shoplifters (2018)
79720,1313092,44629,3.65521,Animal Kingdom (2010)
85354,0411272,15362,3.65778,Mesrine: Public Enemy #1 (2008)
131433,2468774,140212,3.45912,Confession of Murder (2012)
71533,1097013,18065,2.88,Next Day Air (2009)
91505,1216520,59457,3.59204,Womb (2010)
4979,0265666,9428,3.78402,The Royal Tenenbaums (2001)
316273,32376165,1290159,3.30275,A House of Dynamite (2025)
71033,1305806,25376,4.00408,The Secret in Their Eyes (2009)
85881,1606392,55725,3.63415,Win Win (2011)
192379,1213641,369972,3.59971,First Man (2018)
141688,3569230,276907,3.43044,Legend (2015)
225145,9770150,581734,3.56423,Nomadland (2021)
2427,0120863,8741,3.45307,The Thin Red Line (1998)
31101,0326208,18927,3.40359,Stander (2003)
180095,2543472,406997,3.76738,Wonder (2017)
4992,0035423,11232,3.17573,Kate & Leopold (2001)
103299,1959332,126277,3.35135,American Mary (2013)
132480,1655441,293863,3.66696,The Age of Adaline (2015)
2952,0119256,8052,3.67017,Hard Eight (1997)
7048,0119807,11676,3.28145,Nothing to Lose (1997)
212361,5363618,502033,3.86303,Sound of Metal (2020)
78218,0914863,38199,3.45801,Unthinkable (2010)
76173,1149361,27936,3.63255,Micmacs (2009)
27022,0124901,9812,3.60329,Thursday (1998)
33683,0338095,10226,3.32727,High Tension (2003)
51091,0462200,7874,3.33221,Black Snake Moan (2006)
85394,1664894,59490,3.67584,Cave of Forgotten Dreams (2010)
184721,6053438,458737,3.71505,First Reformed (2018)
318865,32916440,1317288,3.71778,Marty Supreme (2025)
204692,4687108,523139,2.91651,In the Tall Grass (2019)
3998,0228750,11983,3.16484,Proof of Life (2000)
68511,0890883,25004,3.35294,Black Ice (2007)
197537,7043012,463684,2.71827,Velvet Buzzsaw (2019)
70567,1185836,22051,3.61164,Adam (2009)
6567,0252299,9104,3.44812,Buffalo Soldiers (2002)
103849,2625030,165213,3.7782,New World (2013)
4014,0241303,392,3.65834,Chocolat (2000)
1968,0088847,2108,3.82449,The Breakfast Club (1985)
3505,0093640,10083,3.73965,No Way Out (1987)
4019,0181536,711,3.66044,Finding Forrester (2000)
6067,0160611,12490,3.14527,Ordinary Decent Criminal (2000)
8117,0180748,250,3.69073,In China They Eat Dogs (1999)
176567,3986820,430231,3.59789,The Endless (2017)
104374,2194499,122906,3.97678,About Time (2013)
5049,0083511,150,3.4819,48 Hrs. (1982)
78266,1017460,37707,2.83565,Splice (2010)
307143,32249218,1284120,3.56849,The Ugly Stepsister (2025)
5573,0265808,12770,2.42434,Stealing Harvard (2002)
106438,2431286,205220,3.7364,Philomena (2013)
90057,1675192,64720,3.64887,Take Shelter (2011)
275919,5151570,754609,3.45055,Mrs. Harris Goes to Paris (2022)
115149,2911666,245891,3.85725,John Wick (2014)
89039,1549572,55420,3.48268,Another Earth (2011)
43983,0434008,18747,3.61386,Election (2005)
55247,0758758,5915,3.84305,Into the Wild (2007)
3536,0171433,4967,3.38979,Keeping the Faith (2000)
175569,5362988,395834,3.87269,Wind River (2017)
307159,18382850,1160360,3.40698,If I Had Legs I'd Kick You (2025)
39381,0421238,16608,3.73217,The Proposition (2005)
146900,3276924,336004,3.10571,Heist (2015)
314323,27714581,1124566,3.90829,Sentimental Value (2025)
101850,0388644,89049,3.92627,The Staircase (2004)
226270,1070874,556984,3.8341,The Trial of the Chicago 7 (2020)
169948,5078204,382591,3.57233,Two Is a Family (2016)
3551,0074860,10518,3.83359,Marathon Man (1976)
167392,5074352,360814,3.89363,Dangal (2016)
115170,1872194,205587,3.49023,The Judge (2014)
100326,1389096,121824,3.08598,Stand Up Guys (2012)
52712,0435670,9785,3.1295,The Invisible (2007)
140267,4263482,310131,3.78242,The Witch (2016)
323565,15940132,1265609,2.98256,War Machine (2026)
2541,0139134,796,3.3006,Cruel Intentions (1999)
308713,32221196,1280672,3.36628,One of Them Days (2025)
116207,2249221,185567,3.21918,Zulu (2013)
159213,4619940,340746,3.29032,The Chronicles of Evil (2015)
104944,2370248,169813,3.97798,Short Term 12 (2013)
46578,0449059,773,3.86796,Little Miss Sunshine (2006)
64499,0892255,8881,3.53266,Che: Part One (2008)
5620,0256415,11529,3.18679,Sweet Home Alabama (2002)
74740,1016301,5595,3.39402,Fermat's Room (2007)
315889,11539996,1088166,3.47973,Relay (2025)
114678,1626146,254375,3.4806,Hector and the Search for Happiness (2014)
89085,1226753,48289,3.48287,The Debt (2010)
182783,7048622,468284,3.68027,The Insult (2017)
