movie_id,imdb_id,tmdb_id,rating,average_rating,title
1343,0101540,1598,4.5,3.54056,Cape Fear (1991)
1370,0099423,1573,4.0,3.4625,Die Hard 2 (1990)
1380,0077631,621,4.0,3.30512,Grease (1978)
1393,0116695,9390,3.5,3.59809,Jerry Maguire (1996)
1396,0105435,2322,4.5,3.63906,Sneakers (1992)
1466,0119008,9366,5.0,3.80936,Donnie Brasco (1997)
1485,0119528,1624,4.0,3.25587,Liar Liar (1997)
1517,0118655,816,4.0,3.40039,Austin Powers: International Man of Mystery (1997)
1527,0119116,18,4.0,3.79324,The Fifth Element (1997)
1552,0118880,1701,4.0,3.22125,Con Air (1997)
1556,0120179,1639,1.5,1.96235,Speed 2: Cruise Control (1997)
1573,0119094,754,4.0,3.33377,Face/Off (1997)
1580,0119654,607,4.0,3.60278,Men in Black (1997)
1584,0118884,686,5.0,3.70737,Contact (1997)
1597,0118883,8834,3.0,3.33998,Conspiracy Theory (1997)
1608,0118571,9772,3.5,3.32769,Air Force One (1997)
1617,0119488,2118,4.5,4.04873,L.A. Confidential (1997)
1620,0119468,9437,2.5,3.37385,Kiss the Girls (1997)
1625,0119174,2649,5.0,3.87104,The Game (1997)
1639,0118842,2255,3.0,3.58998,Chasing Amy (1997)
1645,0118971,1813,4.5,3.57275,The Devil's Advocate (1997)
1653,0119177,782,3.0,3.81941,Gattaca (1997)
1665,0118689,1281,4.5,2.86835,Bean (1997)
1682,0120382,37165,4.0,3.91032,The Truman Show (1998)
1687,0119395,4824,4.5,3.22067,The Jackal (1997)
1690,0118583,8078,1.0,3.03678,Alien Resurrection (1997)
1704,0119217,489,4.5,4.11608,Good Will Hunting (1997)
1721,0120338,597,4.5,3.44381,Titanic (1997)
1722,0120347,714,3.5,3.22947,Tomorrow Never Dies (1997)
1729,0119396,184,3.0,3.7022,Jackie Brown (1997)
1732,0118715,115,5.0,3.99453,The Big Lebowski (1998)
1748,0118929,2666,4.0,3.80012,Dark City (1998)
1752,0120696,11258,3.0,2.7706,Hard Rain (1998)
1754,0119099,9411,3.5,3.49253,Fallen (1998)
1779,0120184,10153,5.0,2.90814,Sphere (1998)
1792,0120873,11808,3.0,3.27801,U.S. Marshals (1998)
1801,0120744,9313,3.0,3.13347,The Man in the Iron Mask (1998)
1805,0120890,617,3.0,3.19627,Wild Things (1998)
1833,0120749,8838,3.5,3.05112,Mercury Rising (1998)
1845,0120906,16148,3.5,3.68904,Zero Effect (1998)
1866,0120609,9448,3.0,3.02563,The Big Hit (1998)
1882,0120685,929,2.0,2.40299,Godzilla (1998)
1884,0120669,1878,2.0,3.76009,Fear and Loathing in Las Vegas (1998)
1889,0119375,26610,2.0,3.55938,Insomnia (1997)
1892,0120787,1965,4.0,3.38213,A Perfect Murder (1998)
1912,0120780,1389,3.0,3.64436,Out of Sight (1998)
1917,0120591,95,4.5,3.02137,Armageddon (1998)
1923,0129387,544,5.0,3.51239,There's Something About Mary (1998)
1954,0075148,1366,2.0,3.74836,Rocky (1976)
1961,0095953,380,4.5,3.91016,Rain Man (1988)
2011,0096874,165,4.5,3.60658,Back to the Future Part II (1989)
2012,0099088,196,3.5,3.37365,Back to the Future Part III (1990)
2023,0099674,242,3.0,3.44572,The Godfather Part III (1990)
2028,0120815,857,5.0,4.06037,Saving Private Ryan (1998)
2054,0097523,9354,3.0,2.73578,"Honey, I Shrunk the Kids (1989)"
2058,0120768,9631,4.5,3.59359,The Negotiator (1998)
2115,0087469,87,4.0,3.69965,Indiana Jones and the Temple of Doom (1984)
2126,0120832,8688,4.0,2.82725,Snake Eyes (1998)
2167,0120611,36647,4.5,3.37709,Blade (1998)
2194,0094226,117,4.0,3.86642,The Untouchables (1987)
2231,0128442,10220,4.5,3.71703,Rounders (1998)
2232,0123755,431,4.5,3.58933,Cube (1998)
2264,0098625,5971,4.0,2.73159,We're No Angels (1989)
2273,0120812,2109,5.0,3.48817,Rush Hour (1998)
2278,0122690,8195,4.0,3.57846,Ronin (1998)
2288,0084787,1091,3.5,3.95323,The Thing (1982)
2294,0120587,8916,4.0,3.20073,Antz (1998)
2329,0120586,73,4.5,4.12971,American History X (1998)
2335,0120484,10663,3.0,2.94908,The Waterboy (1998)
2338,0130018,3600,2.5,2.14419,I Still Know What You Did Last Summer (1998)
2353,0120660,9798,5.0,3.56894,Enemy of the State (1998)
2355,0120623,9487,4.5,3.55298,A Bug's Life (1998)
2378,0087928,9336,3.5,3.01469,Police Academy (1984)
2387,0124198,10029,5.0,2.86443,Very Bad Things (1998)
2391,0120324,10223,2.0,3.69839,A Simple Plan (1998)
2403,0083944,1368,4.0,3.62179,First Blood (1982)
2409,0079817,1367,2.0,3.24376,Rocky II (1979)
2424,0128853,9489,4.0,3.22134,You've Got Mail (1998)
2490,0120784,2112,4.0,3.41437,Payback (1999)
2502,0151804,1542,4.0,3.98896,Office Space (1999)
2505,0134273,8224,5.0,2.99755,8MM (1999)
2539,0122933,9535,4.0,3.25827,Analyze This (1999)
2542,0120735,100,5.0,4.03068,"Lock, Stock and Two Smoking Barrels (1998)"
2571,0133093,603,5.0,4.16505,The Matrix (1999)
2572,0147800,4951,4.0,3.578,10 Things I Hate About You (1999)
2594,0125659,1902,4.0,3.88209,Open Your Eyes (1997)
2617,0120616,564,3.5,3.24642,The Mummy (1999)
2628,0120915,1893,2.0,3.07929,Star Wars: Episode I - The Phantom Menace (1999)
2672,0139809,1090,4.5,3.37628,The Thirteenth Floor (1999)
2683,0145660,817,4.0,3.19805,Austin Powers: The Spy Who Shagged Me (1999)
2692,0130827,104,4.0,3.95417,Run Lola Run (1998)
2694,0142342,9032,3.5,3.125,Big Daddy (1999)
2701,0120891,8487,4.0,2.34216,Wild Wild West (1999)
2706,0163651,2105,4.5,3.28117,American Pie (1999)
2707,0137363,1073,4.0,3.44955,Arlington Road (1999)
2710,0185937,2667,3.5,2.92445,The Blair Witch Project (1999)
2720,0141369,332,3.5,2.13535,Inspector Gadget (1999)
2722,0149261,8914,3.0,2.71061,Deep Blue Sea (1999)
2762,0167404,745,4.0,4.00463,The Sixth Sense (1999)
2797,0094737,2280,4.0,3.61427,Big (1988)
2826,0120657,1911,4.0,3.14011,The 13th Warrior (1999)
2858,0169547,14,3.5,4.0933,American Beauty (1999)
2860,0181316,11001,3.5,3.1169,Blue Streak (1999)
2890,0120188,6415,3.5,3.56937,Three Kings (1999)
2916,0100802,861,4.0,3.64155,Total Recall (1990)
2952,0119256,8052,3.0,3.67017,Hard Eight (1997)
2959,0137523,550,5.0,4.23774,Fight Club (1999)
2985,0093870,5548,2.0,3.40056,RoboCop (1987)
2987,0096438,856,4.0,3.55229,Who Framed Roger Rabbit (1988)
2997,0120601,492,3.5,3.93303,Being John Malkovich (1999)
3005,0145681,9481,4.0,3.32481,The Bone Collector (1999)
3006,0140352,9008,2.5,3.8943,The Insider (1999)
3020,0106856,37094,5.0,3.6219,Falling Down (1993)
3082,0143145,36643,4.0,3.2016,The World Is Not Enough (1999)
3147,0120689,497,3.0,4.04663,The Green Mile (1999)
3157,0164912,10137,3.0,2.85488,Stuart Little (1999)
3176,0134119,1213,5.0,3.52687,The Talented Mr. Ripley (1999)
3246,0104797,1883,5.0,3.79177,Malcolm X (1992)
3252,0105323,9475,3.5,3.78429,Scent of a Woman (1992)
3263,0105812,10158,3.5,3.13385,White Men Can't Jump (1992)
3267,0104815,9367,3.5,3.59545,El Mariachi (1993)
3275,0144117,8374,5.0,3.84088,The Boondock Saints (1999)
3285,0163978,1907,4.0,3.11807,The Beach (2000)
3298,0181984,14181,4.0,3.50335,Boiler Room (2000)
3300,0134847,2787,4.0,3.47703,Pitch Black (2000)
3301,0190138,2069,4.0,3.34939,The Whole Nine Yards (2000)
3316,0184858,2155,4.0,2.66213,Reindeer Games (2000)
3354,0183523,2067,3.5,2.69482,Mission to Mars (2000)
3355,0142688,622,4.5,3.26957,The Ninth Gate (1999)
3362,0072890,968,4.5,3.95499,Dog Day Afternoon (1975)
3409,0195714,9532,4.5,3.13469,Final Destination (2000)
3424,0097216,925,4.5,3.85538,Do the Right Thing (1989)
3452,0165929,2085,4.0,3.01353,Romeo Must Die (2000)
3498,0077928,11327,4.0,3.86987,Midnight Express (1978)
3504,0074958,10774,4.0,4.00616,Network (1976)
3510,0186151,10559,4.0,3.55133,Frequency (2000)
3535,0144084,1359,4.5,3.70753,American Psycho (2000)
3555,0141926,3536,3.0,3.35147,U-571 (2000)
